y,x,osmid,highway,v_Input_FID
-29.969024200000000,-71.342047100000002,"1068959615",,"8"
-29.969820200000001,-71.345108600000003,"1068959617",,"8"
-29.969459400000002,-71.341653699999995,"1068959630",,"8"
-29.967662099999998,-71.340526299999993,"1068959644",,"8"
-29.968694200000002,-71.340158299999999,"1068959660",,"8"
-29.968434400000000,-71.341886299999999,"1068959661",,"8"
-29.967781599999999,-71.341697600000003,"1068959680",,"8"
-29.968121100000001,-71.342752000000004,"1068959705",,"8"
-29.968759400000000,-71.341677700000005,"1068959717",,"8"
-29.968154999999999,-71.342160500000006,"1068959725",,"8"
-29.969040199999998,-71.341386999999997,"1068959726",,"8"
-29.968604599999999,-71.340852100000006,"1068959729",,"8"
-29.968135100000001,-71.343529500000002,"1068959748",,"8"
-29.968943700000001,-71.341251999999997,"1068959760",,"8"
-29.969339099999999,-71.341755000000006,"1068959791",,"8"
-29.970014700000000,-71.342732299999994,"1068959851",,"8"
-29.969748599999999,-71.342067000000000,"1068959885",,"8"
-29.967533100000001,-71.341962499999994,"1068959894",,"8"
-29.967960999999999,-71.340912599999996,"1068959905",,"8"
-29.968338100000000,-71.341126299999999,"1068959923",,"8"
-29.973576800000000,-71.345456100000007,"1068959927",,"8"
-29.969498099999999,-71.343342199999995,"1068960006",,"8"
-29.969058400000002,-71.342694399999999,"1068960011",,"8"
-29.969959500000002,-71.341859400000004,"1068960033",,"8"
-29.968618100000000,-71.343827899999994,"1068960048",,"8"
-29.967163899999999,-71.341028800000004,"1068960077",,"8"
-29.969265600000000,-71.340929000000003,"1068960099",,"8"
-29.969718499999999,-71.343045099999998,"1068960127",,"8"
-29.968566599999999,-71.343755000000002,"3503761099",,"8"
-29.969000200000000,-71.343347199999997,"3503761105",,"8"
-29.966725700000001,-71.342172399999995,"2337744799",,"8"
-29.969607400000001,-71.339806899999999,"5457588538",,"8"
-29.970891600000002,-71.338642100000001,"718287532",,"8"
-29.969793299999999,-71.339905900000005,"2412132411",,"8"
-29.966558800000001,-71.341785500000000,"1001295419",,"8"
-29.967888200000001,-71.342449599999995,"2336570585",,"8"
-29.969880799999999,-71.339732499999997,"2336570846",,"8"
-29.970231800000001,-71.339240500000002,"2336570886",,"8"
-29.974620900000001,-71.337936700000000,"3768926378",,"8"
-29.974428000000000,-71.337920800000006,"3768926380",,"8"
-29.974515100000001,-71.337808100000004,"3768926381",,"8"
-29.974651099999999,-71.337645699999996,"3768926382",,"8"
-29.974429399999998,-71.337702100000001,"3768926379",,"8"
-29.969605000000001,-71.344806300000002,"1068976244",,"8"
-29.969680199999999,-71.339740800000001,"699226489",,"8"
-29.968057000000002,-71.341416499999994,"1001283067",,"8"
-29.968755900000001,-71.342301599999999,"1001283314",,"8"
-29.967798699999999,-71.341094999999996,"1001283315",,"8"
-29.966798900000001,-71.342098899999996,"1001283318",,"8"
-29.973398499999998,-71.340771399999994,"1069047946",,"8"
-29.973552600000001,-71.341302799999994,"1069048313",,"8"
-29.974196800000001,-71.341811100000001,"1069048568",,"8"
-29.969831299999999,-71.339603800000006,"2334813598",,"8"
-29.967246700000000,-71.342251700000006,"3343086454",,"8"
-29.967708600000002,-71.342872900000003,"3343086455",,"8"
-29.972253800000001,-71.339995900000005,"2486467065",,"8"
-29.971711599999999,-71.337936400000004,"5462853594",,"8"
-29.971678499999999,-71.337990199999993,"5462853595",,"8"
-29.971971600000000,-71.337946200000005,"5462853596",,"8"
-29.974050800000001,-71.338596999999993,"1069124684",,"8"
-29.973153300000000,-71.340187099999994,"1069124692",,"8"
-29.973579600000001,-71.337508799999995,"1069124722",,"8"
-29.973308200000002,-71.337079700000004,"1069124728",,"8"
-29.974406500000001,-71.339713700000004,"1069124737",,"8"
-29.973802700000000,-71.340624099999999,"1069124740",,"8"
-29.971812900000000,-71.338140699999997,"1069124745",,"8"
-29.974528800000002,-71.339012499999995,"1069124755",,"8"
-29.973357300000000,-71.337793199999993,"1069124759",,"8"
-29.974278099999999,-71.338333700000007,"1069124761",,"8"
-29.973172600000002,-71.339718700000006,"1069124772",,"8"
-29.974156799999999,-71.341037900000003,"1069124781",,"8"
-29.973699100000001,-71.339042800000001,"1069124786",,"8"
-29.974117499999998,-71.339355100000006,"1069124788",,"8"
-29.973231999999999,-71.340952099999996,"1069124869",,"8"
-29.973825500000000,-71.337230000000005,"1069124891",,"8"
-29.974094900000001,-71.336978200000004,"1069124894",,"8"
-29.974460799999999,-71.336836300000002,"1069124940",,"8"
-29.974528899999999,-71.338033199999998,"1069124956",,"8"
-29.973419700000001,-71.339152400000003,"1069124976",,"8"
-29.973097700000000,-71.338783599999999,"1069124978",,"8"
-29.969048799999999,-71.344001000000006,"1001295377",,"8"
-29.969611300000000,-71.343200100000004,"1001295387",,"8"
-29.970813600000000,-71.345728199999996,"1001295392",,"8"
-29.968890200000001,-71.344213199999999,"1001295403",,"8"
-29.967284599999999,-71.341605400000006,"1001295414",,"8"
-29.967054099999999,-71.341283300000001,"1001295417",,"8"
-29.968452400000000,-71.342586299999994,"1001295494",,"8"
-29.968303899999999,-71.342723100000001,"1001295496",,"8"
-29.969252800000000,-71.343698099999997,"1001295510",,"8"
-29.968738500000001,-71.342983799999999,"1001295513",,"8"
-29.968301499999999,-71.343378999999999,"1001295517",,"8"
-29.968032099999999,-71.342956200000003,"1001295524",,"8"
-29.969106400000001,-71.339683399999998,"1958908643",,"8"
-29.969030400000001,-71.339759200000003,"1958908644",,"8"
-29.968667799999999,-71.340124700000004,"1958908645",,"8"
-29.969633699999999,-71.342174000000000,"4401894275",,"8"
-29.969316200000002,-71.342461200000002,"4401894276",,"8"
-29.971631500000001,-71.343233299999994,"7411047660",,"8"
-29.971825800000001,-71.343069600000007,"7411047665",,"8"
-29.971739700000001,-71.342938399999994,"7411047670",,"8"
-29.972067299999999,-71.342634599999997,"7411047671",,"8"
-29.972598999999999,-71.340233999999995,"718251144",,"8"
-29.971273700000001,-71.342239000000006,"2342890259",,"8"
-29.974326099999999,-71.340970999999996,"3768961213",,"8"
-29.969584099999999,-71.340543900000000,"1502203086",,"8"
-29.969496500000002,-71.340421300000003,"1502203093",,"8"
-29.969798800000000,-71.340844399999995,"1502203109",,"8"
-29.970678800000002,-71.341198199999994,"1502203134",,"8"
-29.969201600000002,-71.340843199999995,"1502203135",,"8"
-29.969225500000000,-71.340875299999993,"1502203136",,"8"
-29.968873100000000,-71.341163300000005,"1502203142",,"8"
-29.971643799999999,-71.340323900000001,"1502203144",,"8"
-29.971197799999999,-71.340056200000006,"1502203167",,"8"
-29.972305200000001,-71.338313499999998,"2333528225",,"8"
-29.973146700000001,-71.338037499999999,"2333528298",,"8"
-29.973224399999999,-71.338353799999993,"2333528321",,"8"
-29.973297299999999,-71.338268499999998,"2333528325",,"8"
-29.973652200000000,-71.336777999999995,"2333528345",,"8"
-29.973752399999999,-71.338913199999993,"2333528353",,"8"
-29.974322500000000,-71.337802800000006,"2333528397",,"8"
-29.974555899999999,-71.337540899999993,"2333528420",,"8"
-29.970119000000000,-71.340141799999998,"5627174378",,"8"
-29.970060100000001,-71.340055599999999,"5627174379",,"8"
-29.970564899999999,-71.339726999999996,"5627174380",,"8"
-29.970504500000001,-71.339643800000005,"5627174381",,"8"
-29.970354799999999,-71.339457899999999,"5627174382",,"8"
-29.970664400000000,-71.339634399999994,"5627174383",,"8"
-29.970463500000001,-71.339353500000001,"5627174384",,"8"
-29.970592499999999,-71.339229500000002,"5627174385",,"8"
-29.970379900000001,-71.339758799999998,"5627174396",,"8"
-29.970175399999999,-71.339948300000003,"5627174397",,"8"
-29.969931700000000,-71.339888599999995,"5627174408",,"8"
-29.969837200000001,-71.339969999999994,"5627174409",,"8"
-29.970730100000001,-71.341897599999996,"7011886215",,"8"
-29.972361899999999,-71.338254500000005,"1069150762",,"8"
-29.972275900000000,-71.339467900000002,"1069150769",,"8"
-29.971883200000001,-71.339155199999993,"1069150772",,"8"
-29.969512999999999,-71.339269099999996,"1069150895",,"8"
-29.969534100000001,-71.339485499999995,"1069150901",,"8"
-29.972495500000001,-71.338430399999993,"1069150915",,"8"
-29.972586300000000,-71.339083200000005,"1069150916",,"8"
-29.972564500000001,-71.339848099999998,"1069151073",,"8"
-29.972614199999999,-71.337968200000006,"1069151114",,"8"
-29.972753399999998,-71.337793399999995,"1069151124",,"8"
-29.972602899999998,-71.338493999999997,"1069151141",,"8"
-29.971485200000000,-71.338712700000002,"1069151189",,"8"
-29.968177600000001,-71.342231799999993,"2350314840",,"8"
-29.968477100000001,-71.341939499999995,"2350314850",,"8"
-29.970798200000001,-71.339510399999995,"1001258361",,"8"
-29.970022199999999,-71.340239999999994,"1001258359",,"8"
-29.970453100000000,-71.339039799999995,"1001258368",,"8"
-29.970954899999999,-71.341601199999999,"1001258386",,"8"
-29.970396500000000,-71.340786199999997,"1001258389",,"8"
-29.971367000000001,-71.339916900000006,"1001258406",,"8"
-29.971720500000000,-71.339567500000001,"1001258411",,"8"
-29.972266099999999,-71.340331899999995,"1001258450",,"8"
-29.971921099999999,-71.340731500000004,"1001258451",,"8"
-29.970345300000002,-71.342376700000003,"1001258461",,"8"
-29.969659199999999,-71.341456800000003,"1001258462",,"8"
-29.968936299999999,-71.340487499999995,"1001258464",,"8"
-29.970329400000001,-71.339151999999999,"1001258546",,"8"
-29.970249700000000,-71.297313200000005,"5421534791",,"6"
-29.970001700000001,-71.297655300000002,"5421534792",,"6"
-29.970773399999999,-71.298454000000007,"5421534793",,"6"
-29.971141299999999,-71.297687400000001,"5421534797",,"6"
-29.970932900000001,-71.297989700000002,"5421534802",,"6"
-29.971009100000000,-71.298058900000001,"5421534801",,"6"
-29.970696300000000,-71.298374199999998,"5421534804",,"6"
-29.970559600000001,-71.299691100000004,"5421534814",,"6"
-29.970214599999998,-71.299394500000005,"5421534815",,"6"
-29.970336900000000,-71.300048599999997,"5421534816",,"6"
-29.969923000000001,-71.299709699999994,"5421534817",,"6"
-29.967707000000001,-71.297113800000005,"5421534820",,"6"
-29.967566699999999,-71.297351699999993,"5421534821",,"6"
-29.967656500000000,-71.297481899999994,"5421534822",,"6"
-29.967808900000001,-71.297218900000004,"5421534823",,"6"
-29.979275699999999,-71.300439299999994,"3759804020",,"6"
-29.973562099999999,-71.301998400000002,"5421534888",,"6"
-29.972741500000001,-71.303420599999995,"5421534899",,"6"
-29.973605899999999,-71.306176199999996,"5421534920",,"6"
-29.972751599999999,-71.305648500000004,"5421534921",,"6"
-29.972942000000000,-71.305169899999996,"5421534922",,"6"
